,cod,valor,periodo
577,32,1118,2010-01-15
578,31,4369,2010-01-15
579,29,2649,2010-01-15
580,28,616,2010-01-15
581,27,784,2010-01-15
582,26,2008,2010-01-15
583,11,616,2010-01-15
584,12,137,2010-01-15
585,13,510,2010-01-15
586,14,148,2010-01-15
587,15,1448,2010-01-15
588,16,138,2010-01-15
589,17,527,2010-01-15
590,21,1391,2010-01-15
591,22,979,2010-01-15
592,23,2226,2010-01-15
593,25,851,2010-01-15
594,25,821,2011-01-15
595,11,604,2011-01-15
596,12,165,2011-01-15
597,13,560,2011-01-15
598,14,137,2011-01-15
599,15,1465,2011-01-15
600,16,152,2011-01-15
601,17,528,2011-01-15
602,21,1551,2011-01-15
603,22,1010,2011-01-15
604,26,2049,2011-01-15
605,27,832,2011-01-15
606,28,570,2011-01-15
607,29,2741,2011-01-15
608,31,4691,2011-01-15
609,32,1136,2011-01-15
610,33,2794,2011-01-15
611,35,7867,2011-01-15
612,41,3416,2011-01-15
613,42,2025,2011-01-15
614,43,2163,2011-01-15
615,50,846,2011-01-15
616,51,1078,2011-01-15
617,52,1932,2011-01-15
618,53,557,2011-01-15
619,23,2256,2011-01-15
620,24,607,2011-01-15
621,32,1164,2012-01-15
622,11,671,2012-01-15
623,12,169,2012-01-15
624,13,517,2012-01-15
625,14,149,2012-01-15
626,15,1694,2012-01-15
627,16,128,2012-01-15
628,17,526,2012-01-15
629,21,1790,2012-01-15
630,22,1144,2012-01-15
631,23,2504,2012-01-15
632,24,611,2012-01-15
633,25,990,2012-01-15
634,26,2056,2012-01-15
635,27,836,2012-01-15
636,28,630,2012-01-15
637,29,3006,2012-01-15
638,31,4511,2012-01-15
639,33,3064,2012-01-15
640,35,7529,2012-01-15
641,41,3637,2012-01-15
642,42,1954,2012-01-15
643,43,2152,2012-01-15
644,50,810,2012-01-15
645,51,1165,2012-01-15
646,52,2079,2012-01-15
647,53,565,2012-01-15
648,29,2845,2013-01-15
649,53,526,2013-01-15
650,52,2023,2013-01-15
651,51,1186,2013-01-15
652,50,801,2013-01-15
653,43,2122,2013-01-15
654,42,1721,2013-01-15
655,41,3158,2013-01-15
